RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Robert Covington,Por,F,31.21,48,29.8,62.1,12.5,14.2,36,0.833,106,0.462,230,0.343,0.499,0.519,7.6,5.7,10.4,1.4,6.6,1.54,1.31,1.21,5.3,100.6,106
,Robert Covington,Lac,F,31.21,9,20.1,42,16.6,11.7,15,0.8,22,0.636,32,0.344,0.565,0.602,8.1,5,13,1.1,8,1.22,1.11,0.89,7.1,118.2,96.9
,Torrey Craig,Ind,F,31.2,51,20.3,42.2,14,11.6,35,0.771,143,0.573,138,0.333,0.537,0.555,6.5,3.8,10.4,1.1,7.8,0.47,0.37,0.76,5.9,112.3,108.3
,Torrey Craig,Pho,F,31.2,6,19.3,40.2,14.6,15.3,5,0.4,12,0.583,19,0.211,0.419,0.422,4.7,5.2,14.2,1,6.5,0.67,1,1,6,88.8,99
,Jae Crowder,Pho,F,31.65,51,28.3,59,14,8.8,69,0.812,133,0.519,264,0.348,0.521,0.55,9.2,5.3,9.9,1.6,7.3,1.33,0.43,0.8,6,109.5,99.5
,Jarrett Culver,Mem,G-F,23.03,27,9.2,19.2,19.7,10.9,23,0.522,63,0.476,33,0.303,0.469,0.481,3.8,1.4,8.2,1,14.4,0.56,0.15,0.48,7.6,101.9,99.6
,Jarron Cumberland,Por,G,24.44,3,4.1,8.5,7.1,0,0,0,1,1,1,0,0.5,0.5,0.7,1,13.3,0.3,11.2,0,0,0,5.8,138.4,101.6
,Cade Cunningham,Det,G,20.43,47,31.7,66.1,26.7,17.7,109,0.844,434,0.447,285,0.319,0.46,0.491,16,5.5,9.4,5.1,27.7,1.21,0.66,3.51,9.7,93.8,106.6
,Seth Curry,Phi,G,31.52,45,34.8,72.5,18.5,13,73,0.877,278,0.561,250,0.4,0.58,0.603,15,3.4,5.3,4,17.8,0.8,0.24,1.87,6.8,113.3,108.5
,Seth Curry,Bro,G,31.52,6,30.6,63.6,22.2,11.6,8,0.875,39,0.513,41,0.488,0.625,0.641,17.8,3.8,6.8,3.7,18.8,0.67,0.17,1.83,8.2,118.4,109.9
,Stephen Curry,Gol,G,33.96,56,34.8,72.4,31.1,12.9,269,0.914,414,0.512,680,0.376,0.545,0.593,25.7,5.3,8.2,6.5,31.5,1.38,0.39,3.2,11,114.6,102.9
,Anthony Davis,Lal,F-C,28.97,37,35.1,73.1,26.9,9.4,227,0.709,569,0.578,66,0.182,0.546,0.582,23.1,9.7,14.7,2.9,14.1,1.22,2.32,2.05,9.9,116,105.2
,Ed Davis,Cle,C-F,32.74,19,7.5,15.6,7,22.2,8,0.375,14,0.643,0,0,0.643,0.599,1.1,2.3,16.9,0.3,4.6,0.16,0.42,0.26,4.9,110.1,86.6
,Terence Davis,Sac,G,24.79,30,17.9,37.2,25.4,10.3,44,0.818,118,0.542,149,0.329,0.515,0.543,10.4,3.1,9.4,1.3,11.8,0.83,0.37,1.1,7.8,103.5,102.8
,Gabriel Deck,Okc,F,27.06,7,7.9,16.5,12.5,12.5,0,0,10,0.6,4,0.5,0.643,0.643,2.6,0.9,5.5,0.7,14.1,0.14,0,0.29,6,120.7,112.5
,Dewayne Dedmon,Mia,C,32.55,52,16.3,34,16.8,17.4,74,0.784,202,0.594,31,0.516,0.618,0.651,6.7,6.1,21,0.8,7,0.4,0.56,1.08,7.8,121,91.2
,Sam Dekker,Tor,F,27.82,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Javin DeLaurier,Mil,C,20,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,1,18.8,0,0,1,0,0,0,,
,DeMar DeRozan,Chi,G-F,32.57,58,35.7,74.4,31.8,9,462,0.864,1054,0.531,106,0.358,0.532,0.599,28.2,5.3,8.2,5,24.1,0.91,0.33,2.33,10.2,119.4,109.5
,Mamadi Diakite,Okc,F,25.11,13,14.4,30.1,13.3,10.4,11,0.545,42,0.595,5,0,0.532,0.54,4.3,4.5,15.7,0.2,1.6,0.38,0.69,0.46,4.4,109.6,92.2
,Cheick Diallo,Det,F-C,25.46,3,10.2,21.3,16.2,8.6,6,0.833,8,0.375,0,0,0.375,0.517,3.7,4,21.1,0,0,0.33,0,0.33,0,115.1,92.4
,Hamidou Diallo,Det,G,23.58,54,22.4,46.6,21.6,9.2,129,0.659,410,0.549,89,0.258,0.52,0.543,11.2,4.9,11.8,1.3,10,1.24,0.31,1.04,7.4,107.5,103.1
,Gorgui Dieng,Atl,C,32.12,38,8.8,18.3,16.8,15.6,24,0.708,43,0.535,55,0.436,0.602,0.622,3.6,3,18.6,0.8,12.9,0.26,0.34,0.53,9.3,122.8,99.6
,Spencer Dinwiddie,Was,G,28.9,44,30.2,63,21,11.6,143,0.811,266,0.432,226,0.31,0.447,0.501,12.6,4.7,8.5,5.8,27.9,0.61,0.16,1.66,9.3,108.8,108.3
,Spencer Dinwiddie,Dal,G,28.9,4,27.7,57.7,17.8,6.8,11,0.364,23,0.739,13,0.462,0.722,0.686,14,3.3,6.5,3.3,19.5,1,0,0.75,7.7,132.7,104.6
,Donte DiVincenzo,Mil,G,25.08,17,20.1,41.8,19.8,17.7,27,0.852,44,0.409,74,0.284,0.419,0.47,7.2,3.5,9.3,1.7,11.5,0.65,0.18,1.65,7,93.6,105.9
,Donte DiVincenzo,Sac,G,25.08,6,22.9,47.6,17.6,12.4,10,0.9,13,0.462,32,0.313,0.467,0.516,8.5,3.7,8.6,3.3,20,1.33,0,1.17,8.2,109.6,109.8
,Luka Doncic,Dal,F-G,23,46,35.4,73.8,37.3,15.3,336,0.741,616,0.516,382,0.335,0.511,0.554,27.6,9.2,14.2,8.9,46.6,1.15,0.5,4.5,14.8,108.1,100.6
,Luguentz Dort,Okc,G,22.87,51,32.7,68,23.3,9.8,191,0.843,335,0.487,391,0.332,0.493,0.541,17.2,4.2,6.5,1.7,8.7,0.9,0.35,1.73,6.1,104.5,105.4
,Ayo Dosunmu,Chi,G,22.12,57,26.2,54.5,13.5,16.1,62,0.677,225,0.591,133,0.406,0.598,0.61,8.2,2.9,6.1,3.1,15.9,0.74,0.42,1.3,6.4,114.6,107
,Damyean Dotson,Nyk,G,27.82,2,10.3,21.5,8.5,0,0,0,3,0.667,1,0,0.5,0.5,2,1,5.2,0.5,7.2,0,0,0,3.9,113.2,117.8
,Devon Dotson,Chi,G,22.58,11,7.7,16.1,16.5,15.6,9,0.556,14,0.643,9,0.222,0.522,0.538,2.6,0.8,5.9,1.4,23.7,0.09,0,0.45,7.4,109.5,103.7
,Sekou Doumbouya,Lal,F,21.18,2,8.2,17.1,30.8,17,4,0.75,6,0.667,2,0.5,0.688,0.717,7,3,19.4,0,0,1.5,1,1,0,117.9,96
,Jeff Dowtin,Gol,G,24.81,4,6.9,14.4,11,14.3,0,0,5,0.6,1,0,0.5,0.5,1.5,1.8,13.7,0.8,14.8,0,0.25,0.25,7.5,108.8,101.6
,Jeff Dowtin,Mil,G,24.81,1,3,6.3,14.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,P.J. Dozier,Den,G-F,25.35,18,18.9,39.4,15.2,11,13,0.769,51,0.412,48,0.313,0.439,0.463,5.4,3.5,10.3,1.6,11.4,0.61,0.33,0.72,6.6,100.2,102.8
,Goran Dragic,Tor,G,35.82,5,18,37.4,18.8,2.5,10,1,20,0.45,14,0.286,0.441,0.521,8,2.8,8.5,1.8,14.5,1,0.2,0.2,7.6,121.8,103.8
,Goran Dragic,Bro,G,35.82,2,15.5,32.3,20.3,13.7,6,0.667,5,0.2,5,0.4,0.4,0.475,6,2,6.9,3.5,29.7,0,0,1,9,110.7,106.5
