RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Zeke Nnaji,Den,F-C,21.14,39,16.7,34.8,15.2,9.4,62,0.613,100,0.58,76,0.487,0.645,0.652,6.8,3.7,12.3,0.4,3.3,0.31,0.33,0.54,5.2,127.1,101.6
,Nerlens Noel,Nyk,C-F,27.89,25,22.5,46.8,7.3,21.5,30,0.7,57,0.561,3,0,0.533,0.581,3.4,5.6,13.4,0.9,5.7,1.2,1.24,0.8,4.6,119.7,98.5
,Jaylen Nowell,Min,G,22.64,43,14.6,30.5,21.1,6.9,55,0.745,171,0.52,100,0.37,0.533,0.559,7.7,1.9,7,2,21.6,0.53,0.14,0.51,8.4,118.7,108.8
,Frank Ntilikina,Dal,G,23.59,47,12.5,26.1,17.3,11.5,24,0.958,90,0.422,100,0.34,0.468,0.501,4.3,1.3,5.9,1.1,13.3,0.51,0.13,0.55,5.9,100.8,102
,Jusuf Nurkic,Por,C,27.52,56,28.2,58.7,23.7,16.6,268,0.69,544,0.563,56,0.268,0.548,0.586,15,11.1,21.4,2.8,16.4,1.11,0.61,2.55,11,113.1,100.6
,David Nwaba,Hou,G-F,29.13,38,13.8,28.8,15.7,9.2,57,0.719,113,0.54,39,0.256,0.5,0.545,5.1,3.7,14.6,0.8,8.5,0.63,0.47,0.47,7.2,114.8,107.9
,Jordan Nwora,Mil,F,23.47,48,19.4,40.4,19.6,11.1,23,0.783,182,0.445,186,0.366,0.497,0.508,8,3.6,9.8,1,7.3,0.46,0.27,0.98,6.3,98.8,106.8
,Semi Ojeleye,Mil,F,27.24,20,15.4,32,11.2,6.2,13,0.769,29,0.241,41,0.268,0.336,0.376,2.9,2.9,9.9,0.3,2.1,0.25,0.25,0.25,3.5,96.5,106.4
,Semi Ojeleye,Lac,F,27.24,2,6.7,14,33.8,19.4,3,0.667,4,0.25,3,0.333,0.357,0.421,3.5,1,7.8,0,0,0,0,1,0,74.6,116.8
,Chuma Okeke,Orl,F,23.54,51,24,50.1,16.4,8.4,46,0.848,159,0.497,246,0.321,0.488,0.51,8.5,4.7,10.4,1.6,10.2,1.47,0.59,0.76,6.7,103.6,108
,Josh Okogie,Min,G,23.5,34,12.1,25.3,11.3,17.1,39,0.641,39,0.41,36,0.278,0.413,0.472,2.6,1.8,8,0.6,5.9,0.5,0.29,0.56,4.7,99.1,106.9
,Onyeka Okongwu,Atl,F-C,21.22,28,21.6,45,14.3,16.2,66,0.727,137,0.737,0,0,0.737,0.753,8.9,5.5,13.9,1.2,8.1,0.68,1.43,1.14,7.2,139.5,100.6
,Isaac Okoro,Cle,F-G,21.09,46,29,60.4,13.3,11.2,106,0.764,191,0.55,120,0.325,0.526,0.57,8.9,3.2,6.1,1.8,8.8,0.83,0.3,0.98,5.1,115.8,102.5
,KZ Okpala,Mia,F-G,22.84,21,11.6,24.2,14.3,6.3,11,0.727,43,0.488,26,0.346,0.5,0.521,3.7,2,9.5,0.7,8.3,0.19,0.33,0.24,6,113.3,101.3
,Cameron Oliver,Atl,F,20,2,21.7,45.1,16.5,0,3,0.667,12,0.75,3,0.333,0.7,0.705,11.5,3,7.6,1.5,11.1,0.5,0.5,0,6.9,149.6,106.3
,Kelly Olynyk,Det,F-C,30.87,24,20,41.7,23.2,13.8,55,0.709,117,0.462,84,0.321,0.47,0.506,9.5,5,13.3,2.8,22.9,0.92,0.46,1.5,10.2,104.6,102.5
,Eugene Omoruyi,Dal,F,25.04,4,4.5,9.3,17.1,0,4,0.5,3,0.333,2,0.5,0.5,0.518,1.8,1.8,21.6,0.5,16.1,0,0,0,10.4,131,96.5
,Royce O'Neale,Uta,F,28.74,56,31.3,65.2,9.5,13.6,46,0.804,100,0.67,209,0.411,0.634,0.652,7.7,4.8,8.4,2.5,10.4,1.27,0.46,0.93,5.8,129.1,104.5
,Miye Oni,Uta,G-F,24.57,16,2.8,5.8,10.3,9.6,1,0,1,1,8,0.125,0.278,0.265,0.3,0.4,8.6,0.3,14.1,0,0,0.06,4.7,,
,Cedi Osman,Cle,F,26.9,49,23.1,48.2,21,9.2,103,0.65,167,0.521,279,0.366,0.538,0.557,11.2,2.3,5.4,2.1,13.8,0.86,0.16,1.02,6.5,110,102.6
,Daniel Oturu,Tor,C,22.44,3,9.1,19,12.9,0,5,0.6,5,0.6,1,0,0.5,0.549,3,1.7,9.9,0,0,0,0.67,0,0,122.4,112.7
,Kelly Oubre Jr.,Cha,F-G,26.23,57,28.5,59.4,23.3,6.7,152,0.671,313,0.572,456,0.344,0.539,0.557,16.3,4.2,7.6,1.2,6.2,1.14,0.42,1.05,6.1,109.2,107.7
,Jaysean Paige,Det,G,27.59,1,6.6,13.8,25.9,25,0,0,1,0,2,0,0,0,0,1,8.2,1,19.5,0,0,1,0,14.9,85.6
,Trayvon Palmer,Det,G,27.3,1,16.8,35,5.1,50,0,0,1,0,0,0,0,0,0,2,6.4,0,0,0,0,1,0,0,107.2
,Kevin Pangos,Cle,G,29.09,24,6.9,14.4,14.5,12.8,4,0.75,20,0.45,26,0.231,0.391,0.408,1.6,0.5,3.6,1.3,24.8,0.13,0,0.29,5.9,99.1,106.3
,Jabari Parker,Bos,F,26.96,12,9.4,19.5,19.5,16,9,1,22,0.455,16,0.5,0.579,0.632,4.4,2.3,13.3,0.5,8.1,0.33,0.08,0.67,7.3,113.2,95
,Eric Paschall,Uta,F,25.32,45,13.1,27.3,17.2,10.7,66,0.758,89,0.596,90,0.378,0.581,0.62,5.7,2,8.4,0.6,6.8,0.16,0.09,0.56,5.8,121.6,107.1
,Chris Paul,Pho,G,36.82,58,33,68.8,20,15.6,185,0.843,485,0.546,182,0.33,0.532,0.579,14.9,4.5,7.2,10.7,44.4,1.86,0.31,2.38,10.9,122.9,102.9
,Cameron Payne,Pho,G,27.56,40,20.4,42.5,26,14.5,66,0.864,257,0.44,134,0.336,0.462,0.498,10.5,2.8,7.2,3.6,25.1,0.58,0.3,1.78,9.3,99.6,101.6
,Gary Payton II,Gol,G,29.25,58,16.8,35,14.6,9.2,50,0.58,174,0.759,101,0.366,0.682,0.68,7,3.4,11,0.8,7.4,1.43,0.31,0.52,6.4,129.6,94.8
,Elfrid Payton,Pho,G,28.02,39,11.7,24.4,18.6,19.8,28,0.393,130,0.408,16,0.25,0.404,0.407,3.3,1.9,8.8,2.2,24,0.49,0.1,1,8.2,89.9,102.3
,Norvel Pelle,Uta,C,29.07,3,6.3,13.2,16.1,28.6,0,0,5,0.6,0,0,0.6,0.6,2,2,17.2,0,0,0,0.33,0.67,0,101.7,108.6
,Reggie Perry,Por,F-C,21.94,2,20.5,42.6,11.6,9.2,2,1,7,0.429,2,0.5,0.5,0.557,5.5,3.5,9.3,1,6.9,0.5,0,0.5,5.2,118.5,102.9
,Reggie Perry,Ind,F-C,21.94,1,9.9,20.6,4.4,0,0,0,1,1,0,0,1,1,2,1,5.6,0,0,0,0,0,0,200,87
,Jamorko Pickett,Det,F,24.18,6,7.8,16.2,11.9,23.1,0,0,3,0,7,0.143,0.15,0.15,0.5,1.5,10.4,0.2,2.8,0,0.17,0.5,2.7,39.3,112.4
,Theo Pinson,Dal,G-F,26.32,16,7.5,15.6,13.4,5.6,4,1,7,0.429,25,0.24,0.375,0.415,1.8,1.2,8.7,0.8,14.8,0.25,0.13,0.13,6.4,99.6,102.2
,Mason Plumlee,Cha,F-C,31.99,54,25.2,52.6,11.7,19.1,129,0.357,246,0.634,2,0,0.629,0.587,6.6,8,16.6,3,15.9,0.87,0.61,1.33,8.6,121.2,101
,Jakob Poeltl,San,C,26.38,51,29.2,60.8,18.2,12.8,141,0.461,497,0.622,1,1,0.623,0.612,13.5,9.2,16.6,2.9,14.5,0.75,1.76,1.61,9.7,123.6,103.8
,Aleksej Pokusevski,Okc,C,20.18,45,16.9,35.2,19.3,15.9,19,0.579,156,0.494,121,0.273,0.457,0.463,5.9,4.4,13.3,1.3,11.8,0.56,0.6,1.2,7.6,90.7,104
,Yves Pons,Mem,F,22.82,7,3.2,6.6,7.2,0,2,0,2,0,1,1,0.5,0.387,0.4,0.7,11.7,0,0,0,0,0,0,,
,Jordan Poole,Gol,G,22.7,55,28.6,59.6,24.7,14.1,173,0.925,313,0.556,377,0.334,0.526,0.578,16.1,3.1,6,3.5,18.8,0.8,0.29,2.29,7.8,108.8,101.5
,Kevin Porter Jr.,Hou,G-F,21.82,40,29.9,62.2,23.5,20.6,127,0.606,231,0.411,240,0.379,0.492,0.512,13.5,4,7.3,6.1,31.2,1.2,0.25,3.43,9.2,98.5,111.6
,Michael Porter Jr.,Den,F,23.67,9,29.5,61.4,19.7,10.1,9,0.556,55,0.491,48,0.208,0.408,0.416,9.9,6.6,12.4,1.9,9,1.11,0.22,1.33,6.8,86.5,105.3
,Otto Porter Jr.,Gol,F,28.74,50,21.4,44.7,15.2,6.7,41,0.78,149,0.584,183,0.388,0.583,0.599,8.4,5.3,13.3,1.5,10.4,1.06,0.46,0.5,7.6,124.2,100.5
,Bobby Portis,Mil,F,27.05,53,28.8,60,22.1,9.6,98,0.745,407,0.531,262,0.416,0.567,0.584,15.7,9.2,16.8,1.2,6.8,0.74,0.77,1.43,7.7,115.8,101.5
,Kristaps Porzingis,Dal,F-C,26.58,34,29.5,61.4,28.5,8.3,170,0.865,335,0.537,173,0.283,0.499,0.561,19.2,7.7,14.3,2,11.8,0.74,1.74,1.56,9,113.2,99.9
,Micah Potter,Det,F,23.9,3,10.3,21.5,17.8,7.8,2,1,9,0.556,2,0,0.455,0.505,4,3,15.7,0,0,0.33,0.33,0.33,0,108.6,102.7
,Dwight Powell,Dal,F-C,30.61,61,20.6,43,13.2,12.7,132,0.75,233,0.682,32,0.406,0.674,0.706,7.5,4.5,11.9,1.1,7.9,0.49,0.43,0.77,6.5,139.9,98.6
,Myles Powell,Phi,G,20,11,4.7,9.9,18,14.4,2,1,11,0.364,6,0.167,0.324,0.364,1.2,0.5,6.4,0.3,8,0.09,0,0.27,4.8,74,98.5
,Norman Powell,Por,G,28.77,40,33.3,69.4,22.6,9,198,0.803,313,0.492,229,0.406,0.542,0.593,18.7,3.3,5.4,2.1,9.9,1,0.43,1.55,6.1,114.7,112.2
,Norman Powell,Lac,G,28.77,3,26.8,55.8,30.5,9,20,0.85,28,0.5,14,0.429,0.548,0.62,21,3,5.9,4,26,0.67,0.67,1.67,9.4,123.9,104.3
,Joshua Primo,San,G,19.18,32,15.7,32.7,15.9,15.4,30,0.767,69,0.406,77,0.325,0.449,0.484,4.8,1.7,5.7,1.4,11.2,0.38,0.47,0.91,5.7,96.9,109.2
,Taurean Prince,Min,F,27.94,50,15.7,32.7,15.3,12.2,42,0.762,91,0.571,143,0.378,0.568,0.59,6,2.3,7.8,0.9,8.2,0.6,0.26,0.7,5.9,111.8,106.6
,Payton Pritchard,Bos,G,24.09,52,12.7,26.5,19.2,11.5,14,1,97,0.433,152,0.375,0.512,0.527,5.2,1.7,6.9,1.8,21.5,0.19,0.08,0.63,7.9,109.9,105
,Trevelin Queen,Hou,G,20,8,8.6,17.9,22.9,18.8,3,1,7,0.714,22,0.364,0.586,0.61,4.6,1.8,11.1,0.4,7.1,0.63,0,0.88,6.9,103.5,108.8
,Neemias Queta,Sac,C,22.63,10,5.6,11.7,22.3,13.7,5,0.6,23,0.391,0,0,0.391,0.417,2.1,1.9,18.3,0.4,10.5,0.1,0.4,0.4,8.3,98.6,97.6
,Immanuel Quickley,Nyk,G,22.7,57,21.3,44.4,21.8,12.3,101,0.921,205,0.424,280,0.329,0.464,0.513,9.5,2.4,5.9,2.9,21.9,0.6,0.05,1.3,7.6,106.2,104.1
,Jahmi'us Ramsey,Sac,G,20.73,19,7.1,14.7,22,7.2,14,0.5,40,0.475,18,0.278,0.457,0.468,3.2,0.7,5.2,0.4,7.9,0.05,0.05,0.26,5.4,95.1,113.6
,Julius Randle,Nyk,F-C,27.25,59,35.7,74.4,27.9,15.6,314,0.761,681,0.467,312,0.301,0.462,0.511,19.6,10.2,15.2,5.3,25.6,0.75,0.58,3.54,11.4,102.5,103.3
,Austin Reaves,Lal,G,23.76,41,21.6,45,10.8,9.4,58,0.828,76,0.711,101,0.307,0.568,0.615,6.1,2.5,6.2,1.3,8,0.27,0.29,0.51,5,124,110.4
,Cam Reddish,Atl,F-G,22.5,34,23.4,48.8,23.2,10.4,80,0.9,190,0.421,153,0.379,0.487,0.537,11.9,2.5,5.8,1.1,7,1.03,0.32,1.29,5.5,103.6,111.9
,Cam Reddish,Nyk,F-G,22.5,11,12.4,25.9,20.3,14.3,23,0.957,22,0.5,22,0.227,0.42,0.545,5.4,1,4.3,0.6,7.8,0.82,0.27,0.82,4.8,103.7,108.3
,Davon Reed,Den,G,26.72,31,13.1,27.3,11.8,7.3,7,0.857,45,0.533,53,0.434,0.597,0.608,4,2.4,10.2,1,10,0.55,0.1,0.26,6.5,124.2,101.4
,Paul Reed,Phi,F,22.71,25,9.3,19.3,14.1,11,10,0.4,56,0.482,4,0,0.45,0.45,2.3,2.6,15.5,0.4,6.2,0.76,0.48,0.32,5.8,108.3,92.8
,Naz Reid,Min,C-F,22.51,59,15.9,33.1,21.3,12.4,112,0.741,243,0.543,126,0.333,0.528,0.565,8,3.7,12.5,0.9,8.7,0.44,1.03,1,7.5,111.4,101.3
,Nick Richards,Cha,C,24.25,41,8.4,17.5,14.7,17.5,41,0.732,81,0.679,0,0,0.679,0.707,3.4,2,12.1,0.3,5.3,0.22,0.46,0.51,6,125.7,101.4
,Josh Richardson,Bos,G,28.46,44,24.7,51.5,16.7,9.4,71,0.859,187,0.481,156,0.397,0.534,0.57,9.7,2.8,6.1,1.5,9,0.77,0.52,0.89,5.6,113.1,103.3
,Josh Richardson,San,G,28.46,3,15.8,32.8,13.4,6.7,0,0,9,0.222,5,0.6,0.464,0.464,4.3,1.3,4.4,2,15.9,0.33,0.33,0.33,5.7,112.7,108.7
,Austin Rivers,Den,G,29.58,47,21.2,44.2,13.5,12.7,29,0.69,87,0.552,168,0.345,0.529,0.542,6.2,1.7,4.5,1.2,7.7,0.74,0.09,0.83,4.4,102,107.1
,Duncan Robinson,Mia,F,27.86,59,27,56.2,18.1,7.7,48,0.833,88,0.58,490,0.361,0.548,0.562,11.4,2.9,6.1,1.6,8.6,0.59,0.19,0.85,5.6,110.5,102.3
,Jeremiah Robinson-Earl,Okc,F,21.32,44,23,48,14.7,10.1,42,0.714,142,0.472,150,0.333,0.486,0.506,7.1,5.8,12.8,1,6.5,0.61,0.34,0.8,6,105.3,104.9
,Justin Robinson,Mil,G,24.38,17,11.6,24.2,14.9,16,2,1,20,0.4,37,0.27,0.404,0.415,2.8,0.8,3.5,1.2,14,0.47,0,0.65,4.8,87.2,106.3
,Justin Robinson,Sac,G,24.38,3,5,10.4,25.6,11.1,0,0,5,0.2,3,0,0.125,0.125,0.7,0.3,3.6,0.7,17.2,0,0,0.33,4.2,37.8,107.7
,Justin Robinson,Det,G,24.38,5,18.2,37.9,16.7,14,6,0.333,7,0.143,21,0.381,0.464,0.457,5.6,1.4,4.1,1.8,14.6,0.2,0.2,1,5.3,92.1,111.9
,Mitchell Robinson,Nyk,C-F,23.92,55,25.3,52.8,11.2,12.4,132,0.515,252,0.762,0,0,0.762,0.729,8.2,8.7,18.2,0.4,2.7,0.64,1.62,0.8,4.8,143.9,100.6
,Isaiah Roby,Okc,F,24.07,25,16.2,33.9,18.7,12,35,0.743,102,0.549,37,0.378,0.554,0.583,7.2,3.9,12.2,0.9,8.9,0.6,0.48,0.84,7.2,114.1,99
,Rajon Rondo,Lal,G,36.02,18,16.1,33.5,15.7,32.1,2,0.5,41,0.366,30,0.267,0.38,0.383,3.1,2.7,9,3.7,30.2,0.67,0.28,1.89,7.8,83.7,105.2
,Rajon Rondo,Cle,G,36.02,14,21.7,45.3,17.7,22.9,21,0.762,39,0.487,46,0.37,0.524,0.557,7.5,3.4,8.4,5,32.8,1,0,2,9.3,108.4,100.8
,Derrick Rose,Nyk,G,33.4,26,24.5,51,22.6,11.9,31,0.968,182,0.467,92,0.402,0.513,0.541,12,3,6.5,4,27.8,0.85,0.46,1.5,8.6,112,113
,Terrence Ross,Orl,G-F,31.07,53,23.9,49.9,20.3,11.4,113,0.867,257,0.486,221,0.308,0.475,0.523,10.4,2.6,5.8,1.9,12.7,0.47,0.23,1.28,6.2,101,113.6
,Terry Rozier,Cha,G,27.96,54,33.9,70.6,23,7,133,0.82,427,0.508,442,0.364,0.528,0.553,19,4.3,6.6,4.4,19.5,1.17,0.35,1.3,8.4,114.2,112.7
,Ricky Rubio,Cle,G,31.36,34,28.5,59.4,24.8,16.5,103,0.854,237,0.38,174,0.339,0.434,0.488,13.1,4.1,7.9,6.6,34.8,1.44,0.21,2.65,9.9,102.3,100.8
,D'Angelo Russell,Min,G,26.02,48,32.3,67.3,26.1,12.8,182,0.813,356,0.492,408,0.353,0.512,0.551,19.4,3.5,5.7,6.9,33.1,0.9,0.46,2.58,9.6,112.4,110.9
,Domantas Sabonis,Ind,F-C,25.83,47,34.7,72.3,21.8,17.3,258,0.74,463,0.639,108,0.324,0.61,0.649,18.9,12.1,19.2,5,22.6,0.98,0.47,3.04,12.1,123.1,104.9
,Domantas Sabonis,Sac,F-C,25.83,7,32.9,68.6,24.3,19.1,16,0.625,91,0.626,8,0.25,0.606,0.613,18.6,13.1,21.5,5.9,30.2,1,0.43,3.57,13.7,115.2,101.4
,Olivier Sarr,Okc,C,23.03,5,12.3,25.5,12.5,0,4,0.75,12,0.583,4,0.25,0.531,0.563,4,2.6,10.8,0.4,5,0,0.4,0,5.2,121.5,96
,Tomas Satoransky,Nor,G,30.34,32,15,31.3,12.7,16.3,25,0.76,76,0.355,31,0.161,0.322,0.373,2.8,2,7.3,2.4,21.2,0.44,0.03,0.72,6.3,94.6,109.5
,Tomas Satoransky,San,G,30.34,1,9.2,19.2,8.1,0,4,0.75,0,0,0,0,,0.852,3,1,5.7,0,0,0,0,0,0,,118.9
,Jordan Schakel,Was,G,23.72,2,7.1,14.8,18.8,0,0,0,3,0,3,0,0,0,0,1.5,11.6,0,0,0,0,0,0,28.6,120.3
,Admiral Schofield,Orl,F,24.92,26,10.6,22,13.4,15.3,7,0.714,28,0.643,41,0.341,0.565,0.576,3.2,1.9,9.5,0.6,8.6,0.12,0.15,0.5,5.8,105.6,104.3
,Dennis Schroder,Bos,G,28.46,49,29.2,60.9,23.1,13.8,145,0.848,392,0.485,192,0.349,0.497,0.543,14.4,3.3,6.1,4.2,22.7,0.84,0.1,2.12,8,107.6,102.8
,Dennis Schroder,Hou,G,28.46,5,30.4,63.3,22.1,18.9,14,0.857,35,0.429,23,0.217,0.388,0.444,11.4,4.6,8.3,7.8,38.2,0.8,0.2,3,9.8,98.5,109.1
,Trevon Scott,Cle,F,25.26,2,5.7,11.9,23.2,0,0,0,5,0.6,1,0,0.5,0.5,3,1,9.6,0,0,0.5,0.5,0,0,107.1,88.8
,Jay Scrubb,Lac,G,21.49,18,6.7,14.1,20.7,12.2,10,0.7,25,0.48,21,0.286,0.457,0.486,2.7,0.9,6.9,0.4,9.8,0.22,0.17,0.39,5.9,93.1,105.3
,Wayne Selden,Nyk,G,27.42,3,6.4,13.3,13.2,0,4,0.5,2,0,2,0.5,0.375,0.434,1.7,0.3,2.8,0.3,7.3,0,0,0,3.3,102.6,113.1
,Alperen Sengun,Hou,C,19.6,52,18.7,38.9,22.4,21,167,0.701,264,0.538,69,0.275,0.512,0.563,8.8,4.8,14,2.5,20.8,0.77,0.94,2.08,10.1,106.4,102.5
,Collin Sexton,Cle,G,23.15,11,28.8,59.9,27.8,15.6,39,0.744,106,0.538,45,0.244,0.487,0.523,16,3.3,6.2,2.1,12,0.91,0,2.82,6.7,95.9,103.6
,Landry Shamet,Pho,G,24.97,48,19.6,40.8,16.5,7,58,0.862,93,0.409,215,0.349,0.489,0.526,7.3,1.9,5.2,1.5,10.1,0.44,0.08,0.52,5.6,109.1,106.2
,Day'Ron Sharpe,Bro,F,20.32,32,12.2,25.4,21.7,15.2,41,0.585,142,0.592,7,0.286,0.584,0.593,6.2,5,22.1,0.5,6.8,0.31,0.47,0.94,8.2,118.6,97.9
,Pascal Siakam,Tor,F,27.91,47,37.4,77.9,25,12.3,242,0.74,650,0.514,145,0.338,0.513,0.551,21.1,8.4,12.3,5.1,22.4,1.28,0.72,2.68,10.3,113,103.7
,Chris Silva,Min,F,25.44,1,3.5,7.3,0,,0,0,0,0,0,0,,,0,1,15.1,0,0,0,0,0,0,,
,Chris Silva,Mia,F,25.44,9,9.7,20.3,14.3,28.3,12,0.833,15,0.533,0,0,0.533,0.641,2.9,3.9,22.5,0.8,11.1,0,0.11,0.89,8.6,119.4,83.8
,Marko Simonovic,Chi,C,22.38,9,3.9,8.1,27.3,9.2,11,0.727,10,0.3,5,0.2,0.3,0.428,1.9,1.1,15.8,0,0,0.11,0.11,0.22,0,,
,Anfernee Simons,Por,G,22.73,55,29.3,61.1,24.8,11.8,109,0.881,341,0.501,421,0.397,0.553,0.58,17.1,2.7,5,3.9,22,0.53,0.11,1.96,7.7,112,113.6
,Jericho Sims,Nyk,C,23.36,20,7.7,15.9,4.5,12.7,4,0.75,12,0.667,0,0,0.667,0.69,1,2.1,14.3,0.2,3.6,0.25,0.4,0.1,3.9,153.7,99.9
,Deividas Sirvydis,Det,F-G,21.72,3,8.9,18.5,16.1,0,0,0,3,0,7,0.143,0.15,0.15,1,2,12.1,0.3,5.1,1,0.33,0,3.8,40.6,93.5
,Javonte Smart,Mil,G,22.74,13,12.3,25.6,14.6,16.5,6,0.833,25,0.28,18,0.222,0.302,0.34,2.4,1.5,6.3,1.1,11.2,0.31,0.15,0.69,5.1,77.1,108
,Marcus Smart,Bos,G,27.99,53,32.7,68,17.4,15.6,142,0.789,262,0.504,253,0.32,0.492,0.536,11.7,3.9,6.4,5.4,23.9,1.85,0.26,2.02,7.7,110,101.8
,Dennis Smith Jr.,Por,G,24.26,37,17.3,36,18.3,19,64,0.656,162,0.451,27,0.222,0.434,0.474,5.6,2.4,7.5,3.6,30.2,1.22,0.32,1.38,8.4,101.9,107.5
,Ish Smith,Cha,G,33.65,37,13.8,28.8,18.9,15.7,19,0.632,160,0.394,25,0.4,0.422,0.434,4.5,1.5,5.8,2.6,26.4,0.54,0.27,0.97,7.5,94.7,110.9
,Ish Smith,Was,G,33.65,6,22,45.8,21,14.4,1,0,44,0.545,9,0.333,0.538,0.533,9.5,2.8,7,4.8,35.2,0.83,0.5,1.5,9.2,110.5,104.6
,Jalen Smith,Pho,F-C,21.96,29,13.2,27.4,20.6,12.1,52,0.769,98,0.551,39,0.231,0.493,0.547,6,4.8,19.4,0.2,2.1,0.21,0.62,0.76,5.4,113.3,94.3
,Jalen Smith,Ind,F-C,21.96,7,23.4,48.8,19.5,12.1,14,0.786,31,0.645,28,0.464,0.669,0.691,12.9,7,16.5,1.1,7.6,0.43,0.57,1.29,7.9,126.9,106.7
,Xavier Sneed,Mem,F,20,2,3.9,8,10.7,0,0,0,0,0,2,0,0,0,0,1,13.6,0,0,0,0,0,0,,
,Tony Snell,Por,G,30.31,38,14.4,29.9,8.7,10.1,3,1,22,0.545,75,0.32,0.495,0.503,2.6,1.9,7.2,0.6,5.2,0.21,0.18,0.29,4,103.9,111.2
,Tony Snell,Nor,G,30.31,5,20.2,42,13.7,12.5,0,0,5,0.6,23,0.522,0.75,0.75,8.4,3.8,10.4,0.6,4.5,0.6,0,0.8,5.3,128.5,103.5
,Jaden Springer,Phi,G,19.43,2,2.8,5.8,16.1,50,0,0,1,1,0,0,1,1,1,1,19.8,0,0,0,1,0.5,0,,
,Cassius Stanley,Det,G,22.54,9,17.2,35.9,15.5,10.6,10,1,29,0.517,17,0.235,0.457,0.516,5.8,2.1,6.6,0.4,3.9,0.56,0.22,0.67,3.9,101.1,107.1
,Nik Stauskas,Mia,G,28.4,2,11.9,24.7,18.3,0,4,0.75,4,0.25,4,0.5,0.5,0.564,5.5,1.5,7.1,0.5,6.1,0,0,0,5.4,127.5,110.7
,Lance Stephenson,Atl,F,31.49,6,11.6,24.1,11.2,22.4,2,0.5,10,0.5,3,0,0.385,0.396,1.8,2.5,11.8,1.8,20.1,0,0,0.67,6.9,91.4,104.9
,Lance Stephenson,Ind,F,31.49,25,20.1,41.8,24.4,16.5,50,0.78,153,0.536,62,0.274,0.5,0.536,10.2,3.2,8.7,4.1,31.9,0.64,0.12,1.88,10.2,106.2,105.6
,Lamar Stevens,Cle,F,24.64,43,13.9,29,16.2,10.4,42,0.643,135,0.533,44,0.295,0.511,0.532,4.9,2.1,8.3,0.6,6.2,0.47,0.21,0.53,5.3,106.1,99.9
,Isaiah Stewart,Det,F-C,20.78,53,26,54.1,14.6,13.8,79,0.684,347,0.542,25,0.16,0.522,0.543,8.3,8.5,17.6,1.1,6.5,0.34,1.15,1.23,6.6,111.7,104.6
,Max Strus,Mia,G-F,25.92,49,23.5,48.9,18.1,8.3,43,0.767,99,0.545,313,0.403,0.59,0.602,10.6,3.1,7.4,1.3,8.3,0.35,0.22,0.8,6,115.2,105.3
,Jalen Suggs,Orl,G,20.74,41,27.8,58,25.6,18.7,149,0.765,315,0.441,168,0.232,0.409,0.464,12.4,3.7,7,4.4,24.7,1.27,0.39,3.07,8.4,89.4,104.3
,Craig Sword,Was,G,28.12,3,6.3,13.2,11.7,20,0,0,3,1,1,0,0.75,0.75,2,0,0,0.3,7.9,1.33,0,0.33,0,115.6,68.2
,Keifer Sykes,Ind,G,28.17,22,18.3,38.2,18.4,15.1,14,0.857,73,0.397,67,0.299,0.421,0.445,5.9,1.8,5.4,2,15.2,0.36,0.18,1.18,6.1,90.8,110
,Jae'Sean Tate,Hou,F,26.34,58,27.5,57.3,19.8,14.6,159,0.717,413,0.588,153,0.294,0.549,0.578,12.7,5.6,11.1,3.1,18.2,1.02,0.59,1.88,8.8,113,105.2
,Jayson Tatum,Bos,F-G,24,59,36.1,75.1,31.9,11,359,0.85,718,0.503,498,0.329,0.499,0.553,25.7,8.3,12.4,4.2,20.2,0.97,0.69,2.86,10.7,109.1,101.4
,Terry Taylor,Ind,G,22.44,16,18.1,37.7,17.1,6.1,20,0.7,89,0.629,10,0.4,0.626,0.64,8.6,6.1,18.7,1.4,12.5,0.19,0.19,0.44,9.3,140.3,107.8
,Garrett Temple,Nor,G-F,35.81,55,19.2,39.9,13.9,11.8,41,0.683,106,0.481,174,0.316,0.477,0.495,5.4,2.5,7.3,1.3,9.5,0.75,0.42,0.73,5.4,101.2,107.7
,Emanuel Terry,Pho,F,26.53,3,6.1,12.6,23.7,50,0,0,5,0,0,0,0,0,0,5,43.8,0.7,12.2,0.33,0,1.67,0,62.2,78
,Tyrell Terry,Mem,G,21.42,2,1.6,3.2,13.3,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,
,Jon Teske,Mem,C,20,3,2.6,5.4,9.9,0,2,0,1,0,0,0,0,0,0,0.7,13.4,0.3,14.4,0.33,0,0,0,,
,Daniel Theis,Hou,F-C,29.9,26,22.5,46.8,16.5,13.6,40,0.675,100,0.61,79,0.291,0.534,0.554,8.4,5,12.2,0.8,5.2,0.42,0.65,1.19,5.7,104.5,108.7
,Daniel Theis,Bos,F-C,29.9,4,14.1,29.4,8.6,0,0,0,7,0.857,4,0.5,0.818,0.818,4.5,4.8,18,0.8,7.9,0.5,1.25,0,7.3,165.9,83.7
